Episode,X,Y,Z
1,-17.58,1.268076,-19.98
1,-17.57665,1.260228,-19.96032
1,-17.5733,1.248456,-19.94064
1,-17.56995,1.23276,-19.92096
1,-17.5666,1.21314,-19.90128
1,-17.56324,1.189596,-19.8816
1,-17.53137,1.185555,-19.84371
1,-17.4995,1.184748,-19.80581
1,-17.46762,1.184586,-19.76792
1,-17.43575,1.184553,-19.73002
1,-17.40388,1.184547,-19.69213
1,-17.39377,1.184546,-19.64338
1,-17.38366,1.184546,-19.59462
1,-17.37355,1.184545,-19.54587
1,-17.36345,1.184545,-19.49711
1,-17.35334,1.184546,-19.44836
1,-17.3404,1.184545,-19.44553
1,-17.32745,1.184545,-19.44271
1,-17.31451,1.184545,-19.43988
1,-17.30157,1.184545,-19.43705
1,-17.28862,1.184545,-19.43423
1,-17.27119,1.184545,-19.40853
1,-17.25375,1.184546,-19.38282
1,-17.23632,1.184546,-19.35712
1,-17.21888,1.184545,-19.33142
1,-17.20145,1.184546,-19.30573
1,-17.14656,1.184546,-19.28681
1,-17.09167,1.184545,-19.26789
1,-17.03679,1.184546,-19.24897
1,-16.9819,1.184545,-19.23006
1,-16.92701,1.184546,-19.21114
1,-16.90426,1.184546,-19.1658
1,-16.88152,1.184546,-19.12046
1,-16.85877,1.184546,-19.07512
1,-16.83602,1.184546,-19.02977
1,-16.81327,1.184546,-18.98443
1,-16.77954,1.184545,-18.95366
1,-16.74581,1.184545,-18.92289
1,-16.71207,1.184545,-18.89212
1,-16.67834,1.184546,-18.86135
1,-16.64461,1.184545,-18.83058
1,-16.64402,1.184545,-18.78676
1,-16.64342,1.184545,-18.74294
1,-16.64283,1.184545,-18.69912
1,-16.64224,1.184545,-18.6553
1,-16.64165,1.184545,-18.61148
1,-16.62486,1.184545,-18.61227
1,-16.60807,1.184545,-18.61307
1,-16.59127,1.184545,-18.61386
1,-16.57448,1.184545,-18.61466
1,-16.55769,1.184545,-18.61545
1,-16.53013,1.184545,-18.59625
1,-16.50257,1.184545,-18.57705
1,-16.47501,1.184545,-18.55786
1,-16.44744,1.184545,-18.53866
1,-16.41988,1.184545,-18.51946
1,-16.4083,1.184545,-18.48299
1,-16.39672,1.184545,-18.44653
1,-16.38513,1.184545,-18.41007
1,-16.37355,1.184545,-18.37361
1,-16.36197,1.184545,-18.33714
1,-16.34425,1.184545,-18.31014
1,-16.32653,1.184545,-18.28314
1,-16.30881,1.184545,-18.25614
1,-16.29109,1.184545,-18.22914
1,-16.27337,1.184545,-18.20214
1,-16.25033,1.184545,-18.17985
1,-16.2273,1.184545,-18.15756
1,-16.20426,1.184545,-18.13527
1,-16.18122,1.184545,-18.11298
1,-16.15819,1.184545,-18.09068
1,-16.13197,1.184545,-18.07594
1,-16.10575,1.184545,-18.0612
1,-16.07953,1.184545,-18.04646
1,-16.05331,1.184545,-18.03172
1,-16.02709,1.184545,-18.01698
1,-16.00494,1.184545,-17.98491
1,-15.98278,1.184545,-17.95283
1,-15.96062,1.184545,-17.92075
1,-15.93846,1.184545,-17.88867
1,-15.91631,1.184545,-17.85659
1,-15.91744,1.184545,-17.82715
1,-15.91857,1.184545,-17.79771
1,-15.9197,1.184545,-17.76827
1,-15.92083,1.184545,-17.73883
1,-15.92196,1.184545,-17.70939
1,-15.89957,1.184545,-17.68124
1,-15.87717,1.184545,-17.6531
1,-15.85478,1.184545,-17.62495
1,-15.83239,1.184545,-17.59681
1,-15.81,1.184545,-17.56866
1,-15.8152,1.184545,-17.54392
1,-15.82041,1.184545,-17.51918
1,-15.82562,1.184545,-17.49445
1,-15.83083,1.184545,-17.46971
1,-15.83603,1.184545,-17.44497
1,-15.77603,1.184545,-17.42499
1,-15.71603,1.184545,-17.40501
1,-15.65603,1.184545,-17.38503
1,-15.59604,1.184545,-17.36505
1,-15.53604,1.184545,-17.34507
1,-15.51125,1.184545,-17.31618
1,-15.48647,1.184545,-17.28728
1,-15.46168,1.184545,-17.25839
1,-15.43689,1.184545,-17.22949
1,-15.41211,1.184545,-17.2006
